1. Which of the following food substances is digested in the stomach?|{'Carbohydrate'_'Fats and oil'_'Fats and proteins'_'Proteins'_'Carbohydrates and fats'}|{D}
39. Choose the sequence which represents the correct order of organisms in a food chain.|{'Grass, snake, toad, grasshopper, hawk'_'Grass, grasshopper, toad, snake, hawk'_'Grass, grasshopper, snake, toad, hawk'_'Grass, snake, grasshopper, toad, hawk'_'Grass, toad, snake, grasshopper, hawk'}|{B}
40. Which of the following is NOT a function of the liver?|{'Regulation of blood sugar'_'Storage of iron'_'Formation of bile'_'Excretion of urea from the blood'}|{D}
41. Spirogyra reproduces vegetatively by?|{'spore production'_'fragmentation'_'multiple fission'_'budding'_'binary fission'}|{B}
42. Which of the following instruments is used to demonstrate the response of roots and shoots to gravity?|{'Klinostat'_'Manometer'_'Porometer'_'Potometer'_'Photometer'}|{A}
43. Milk protein is hydrolyzed by|{'renin'_'amylase'_'lipase'_'lactase'_'pepsin'}|{A}
44. The rate of transpiration of a leafy shoot would be highest under?|{'damp, cold, still air'_'damp, warm, moving air'_'dry, warm, moving air'_'dry, cold, moving air'_'dry, warm, still air'}|{C}
45. What is name of the respiratory organ of the crab?|{'Tubules'_'Trachea'_'Spiracles'_'Gills'}|{D}
46. The two types of human tapeworm can be distinguished by the presence or absence of?|{'scloex'_'hook'_'head'_'sucker'_'progolottis'}|{B}
47. All the following are digestive enzymes except?|{'bile'_'lipase'_'maltase'_'pepsin'_'ptyalin'}|{A}
48. In a bakery, yeast is added to flour to make bread rise. This is possible because yeast produces?|{'alcohol'_'oxygen'_'caron dioxide'_'energy'_'ethanol'}|{C}
49. Accommodation of the human eye is best described as the?|{'ability to see distant objects'_'movement of upper and lower eyelids'_'focusing of near and distant objects'_'changing of lens shape due to varying light intensities'_'constant adjustment of the iris'}|{C}
50. Normally any character shown by an organism is due to the effects of?|{'hormones and chromosomes'_'chromosomes'_'mutation'_'genes and environment'}|{D}
